customer_id,first_name,last_name,address_state,credit_score,employment_length,home_ownership,annual_income,dti,age,emp_title,email_domain,signup_date
1,Omar,White,TX,722,4.7,OTHER,89200.0,20.58,62,Teacher,gmail.com,2025-05-17
2,Nia,Kim,NY,622,6.4,MORTGAGE,55000.0,11.23,28,Clerk,gmail.com,2025-09-07
3,Maya,Patel,NJ,756,13.2,RENT,80600.0,20.58,25,Clerk,yahoo.com,2024-09-22
4,Dev,Brown,IN,770,8.8,RENT,57900.0,13.54,38,Manager,yahoo.com,2025-03-19
5,Elena,Garcia,CA,553,1.5,MORTGAGE,68800.0,6.59,42,Analyst,proton.me,2025-07-08
6,Elena,Jain,TN,602,21.5,OWN,126100.0,16.82,37,Teacher,outlook.com,2025-01-24
7,Liam,Nguyen,TX,709,5.9,OWN,104600.0,23.48,41,Driver,yahoo.com,2025-12-09
8,Aisha,Jain,TN,676,0.0,MORTGAGE,135500.0,17.83,61,Engineer,outlook.com,2024-11-21
9,Maya,Garcia,IN,698,1.8,MORTGAGE,78600.0,13.07,28,Driver,yahoo.com,2024-08-02
10,Dev,Lopez,WA,636,1.9,RENT,26800.0,22.55,39,Nurse,proton.me,2024-02-10
11,Sara,Garcia,MO,765,0.6,RENT,47000.0,16.5,58,Analyst,outlook.com,2024-07-10
12,Omar,Garcia,MD,758,8.1,RENT,29500.0,11.04,62,Nurse,outlook.com,2025-09-20
13,Omar,White,MO,704,0.0,RENT,104700.0,20.05,46,Chef,gmail.com,2025-04-03
14,Maya,Garcia,OH,784,9.9,MORTGAGE,66700.0,16.42,20,Clerk,proton.me,2024-09-26
15,Rahul,Lopez,PA,735,9.3,RENT,124200.0,32.93,51,Nurse,outlook.com,2025-11-25
16,Maya,Lopez,CA,635,4.2,MORTGAGE,111200.0,25.35,52,Engineer,yahoo.com,2025-06-16
17,Maya,Lopez,TX,727,9.7,MORTGAGE,62100.0,24.68,46,Manager,yahoo.com,2024-09-11
18,Omar,Kim,MI,628,1.6,OWN,158400.0,4.07,36,Engineer,outlook.com,2025-07-18
19,Aisha,White,CA,765,2.6,OWN,106900.0,24.11,33,Chef,outlook.com,2025-12-12
20,Omar,Patel,MO,696,8.2,MORTGAGE,68900.0,25.37,53,Teacher,yahoo.com,2024-06-12
21,Liam,Patel,TX,686,5.2,MORTGAGE,82200.0,5.1,47,Nurse,yahoo.com,2025-05-28
22,Rahul,White,CA,648,3.5,MORTGAGE,134200.0,11.34,55,Analyst,yahoo.com,2025-04-06
23,Liam,Silva,NY,791,5.5,RENT,82800.0,12.04,38,Driver,gmail.com,2025-10-31
24,Sara,Okafor,CA,688,11.3,MORTGAGE,47400.0,26.66,47,Analyst,proton.me,2024-03-27
25,Aisha,Silva,TX,667,11.1,OWN,36700.0,27.79,29,Teacher,yahoo.com,2025-10-19
26,Maya,Jain,GA,673,7.7,MORTGAGE,58000.0,12.11,60,Chef,outlook.com,2024-06-17
27,Dev,Nguyen,NY,739,4.6,RENT,47100.0,8.78,63,Driver,outlook.com,2025-01-12
28,Maya,White,AZ,727,8.1,RENT,73300.0,0.92,41,Clerk,proton.me,2025-03-10
29,Sara,Silva,IL,730,2.6,RENT,51100.0,4.94,20,Nurse,gmail.com,2024-06-14
30,Liam,Brown,NJ,732,10.7,MORTGAGE,54600.0,12.31,56,Engineer,proton.me,2025-06-19
31,Rahul,Patel,NJ,850,9.8,MORTGAGE,121300.0,12.91,66,Engineer,gmail.com,2024-09-28
32,Rahul,Kim,TX,669,13.7,RENT,151400.0,17.96,38,Teacher,outlook.com,2024-06-07
33,Liam,Garcia,CA,661,2.8,MORTGAGE,44900.0,22.78,37,Clerk,gmail.com,2025-02-20
34,Chen,Okafor,MA,638,2.3,MORTGAGE,55300.0,19.86,37,Manager,outlook.com,2024-05-24
35,Maya,Okafor,NJ,746,8.2,OWN,59000.0,12.69,38,Clerk,yahoo.com,2025-08-11
36,Maya,Jain,TX,784,4.9,RENT,77400.0,17.18,55,Driver,proton.me,2025-09-21
37,Aisha,Kim,NJ,691,10.0,MORTGAGE,78600.0,11.4,48,Engineer,outlook.com,2024-01-24
38,Omar,Okafor,FL,636,11.3,RENT,51300.0,14.45,29,Engineer,outlook.com,2025-05-18
39,Omar,Nguyen,CA,638,12.8,RENT,85400.0,15.97,38,Chef,gmail.com,2024-11-26
40,Sara,Nguyen,TX,748,6.2,RENT,52500.0,24.07,45,Clerk,outlook.com,2024-10-23
41,Dev,Nguyen,WA,755,9.5,RENT,54900.0,25.29,34,Nurse,outlook.com,2024-02-06
42,Maya,Garcia,FL,740,3.9,RENT,42000.0,11.36,47,Teacher,outlook.com,2025-04-04
43,Dev,Okafor,OH,650,6.9,RENT,111000.0,18.15,43,Manager,gmail.com,2025-12-03
44,Elena,Kim,TX,717,5.8,RENT,104200.0,23.69,55,Driver,yahoo.com,2025-11-13
45,Aisha,Patel,CA,708,5.6,OWN,78700.0,16.9,51,Engineer,proton.me,2024-07-07
46,Omar,Kim,NY,716,13.3,OWN,92200.0,15.14,36,Engineer,outlook.com,2025-11-29
47,Dev,Garcia,PA,765,0.6,OWN,115200.0,26.04,42,Nurse,proton.me,2024-03-10
48,Maya,Jain,MA,716,6.0,RENT,96400.0,23.15,32,Chef,proton.me,2024-05-05
49,Omar,Patel,WA,750,6.2,RENT,95200.0,17.69,66,Analyst,gmail.com,2024-02-26
50,Elena,Jain,TX,705,8.6,MORTGAGE,53400.0,10.61,50,Analyst,yahoo.com,2024-09-06
51,Elena,Garcia,CA,721,1.6,RENT,31200.0,5.34,25,Teacher,outlook.com,2024-11-17
52,Maya,Garcia,TX,747,4.8,MORTGAGE,44600.0,19.5,39,Chef,proton.me,2024-12-17
53,Sara,Jain,MA,590,3.6,MORTGAGE,198300.0,22.89,22,Teacher,outlook.com,2024-10-12
54,Maya,Jain,OH,676,0.0,RENT,58800.0,9.58,36,Engineer,yahoo.com,2025-09-27
55,Rahul,Okafor,AZ,664,10.6,RENT,147300.0,25.91,42,Chef,outlook.com,2025-09-01
56,Dev,Patel,FL,652,0.1,MORTGAGE,86700.0,15.3,52,Clerk,proton.me,2024-06-09
57,Aisha,Brown,GA,679,0.0,MORTGAGE,65200.0,4.07,54,Driver,outlook.com,2024-09-15
58,Rahul,Jain,NC,812,9.8,MORTGAGE,42100.0,21.92,25,Chef,gmail.com,2024-11-24
59,Sara,Garcia,NC,635,4.7,RENT,46600.0,17.24,44,Engineer,yahoo.com,2024-10-02
60,Liam,Brown,PA,772,4.8,MORTGAGE,62000.0,16.82,45,Clerk,proton.me,2024-02-18
61,Maya,Jain,NY,573,4.9,MORTGAGE,61900.0,24.72,43,Engineer,outlook.com,2025-11-03
62,Sara,Garcia,IL,674,10.3,MORTGAGE,87000.0,30.07,23,Nurse,yahoo.com,2024-08-30
63,Nia,Garcia,WI,712,3.8,MORTGAGE,47100.0,22.67,32,Chef,gmail.com,2024-01-23
64,Omar,Okafor,NY,743,8.4,MORTGAGE,48000.0,14.72,39,Engineer,outlook.com,2025-07-15
65,Sara,Brown,VA,753,1.4,RENT,102400.0,4.16,51,Nurse,outlook.com,2024-12-13
66,Maya,Okafor,MD,759,7.3,RENT,171000.0,22.99,30,Analyst,gmail.com,2025-10-06
67,Nia,Kim,GA,673,9.6,MORTGAGE,69100.0,18.43,35,Engineer,outlook.com,2024-01-15
68,Rahul,Kim,PA,665,11.6,OTHER,82600.0,11.76,38,Teacher,gmail.com,2024-06-16
69,Rahul,Nguyen,CA,764,0.0,OTHER,61500.0,13.85,22,Clerk,yahoo.com,2024-06-23
70,Dev,Patel,VA,685,4.8,MORTGAGE,64100.0,29.98,37,Teacher,proton.me,2024-11-21
